node_no,x,y
0,0.0,0.0
1,0.0,0.625
2,0.0,1.25
3,0.0,1.875
4,0.0,2.5
5,0.0,3.125
6,0.0,3.75
7,0.0,4.375
8,0.0,5.0
9,0.625,0.0
10,0.625,0.625
11,0.625,1.25
12,0.625,1.875
13,0.625,2.5
14,0.625,3.125
15,0.625,3.75
16,0.625,4.375
17,0.625,5.0
18,1.25,0.0
19,1.25,0.625
20,1.25,1.25
21,1.25,1.875
22,1.25,2.5
23,1.25,3.125
24,1.25,3.75
25,1.25,4.375
26,1.25,5.0
27,1.875,0.0
28,1.875,0.625
29,1.875,1.25
30,1.875,1.875
31,1.875,2.5
32,1.875,3.125
33,1.875,3.75
34,1.875,4.375
35,1.875,5.0
36,2.5,0.0
37,2.5,0.625
38,2.5,1.25
39,2.5,1.875
40,2.5,2.5
41,2.5,3.125
42,2.5,3.75
43,2.5,4.375
44,2.5,5.0
45,3.125,0.0
46,3.125,0.625
47,3.125,1.25
48,3.125,1.875
49,3.125,2.5
50,3.125,3.125
51,3.125,3.75
52,3.125,4.375
53,3.125,5.0
54,3.75,0.0
55,3.75,0.625
56,3.75,1.25
57,3.75,1.875
58,3.75,2.5
59,3.75,3.125
60,3.75,3.75
61,3.75,4.375
62,3.75,5.0
63,4.375,0.0
64,4.375,0.625
65,4.375,1.25
66,4.375,1.875
67,4.375,2.5
68,4.375,3.125
69,4.375,3.75
70,4.375,4.375
71,4.375,5.0
72,5.0,0.0
73,5.0,0.625
74,5.0,1.25
75,5.0,1.875
76,5.0,2.5
77,5.0,3.125
78,5.0,3.75
79,5.0,4.375
80,5.0,5.0
81,5.625,0.0
82,5.625,0.625
83,5.625,1.25
84,5.625,1.875
85,5.625,2.5
86,5.625,3.125
87,5.625,3.75
88,5.625,4.375
89,5.625,5.0
90,6.25,0.0
91,6.25,0.625
92,6.25,1.25
93,6.25,1.875
94,6.25,2.5
95,6.25,3.125
96,6.25,3.75
97,6.25,4.375
98,6.25,5.0
99,6.875,0.0
100,6.875,0.625
101,6.875,1.25
102,6.875,1.875
103,6.875,2.5
104,6.875,3.125
105,6.875,3.75
106,6.875,4.375
107,6.875,5.0
108,7.5,0.0
109,7.5,0.625
110,7.5,1.25
111,7.5,1.875
112,7.5,2.5
113,7.5,3.125
114,7.5,3.75
115,7.5,4.375
116,7.5,5.0
117,8.125,0.0
118,8.125,0.625
119,8.125,1.25
120,8.125,1.875
121,8.125,2.5
122,8.125,3.125
123,8.125,3.75
124,8.125,4.375
125,8.125,5.0
126,8.75,0.0
127,8.75,0.625
128,8.75,1.25
129,8.75,1.875
130,8.75,2.5
131,8.75,3.125
132,8.75,3.75
133,8.75,4.375
134,8.75,5.0
135,9.375,0.0
136,9.375,0.625
137,9.375,1.25
138,9.375,1.875
139,9.375,2.5
140,9.375,3.125
141,9.375,3.75
142,9.375,4.375
143,9.375,5.0
144,10.0,0.0
145,10.0,0.625
146,10.0,1.25
147,10.0,1.875
148,10.0,2.5
149,10.0,3.125
150,10.0,3.75
151,10.0,4.375
152,10.0,5.0
153,10.625,0.0
154,10.625,0.625
155,10.625,1.25
156,10.625,1.875
157,10.625,2.5
158,10.625,3.125
159,10.625,3.75
160,10.625,4.375
161,10.625,5.0
162,11.25,0.0
163,11.25,0.625
164,11.25,1.25
165,11.25,1.875
166,11.25,2.5
167,11.25,3.125
168,11.25,3.75
169,11.25,4.375
170,11.25,5.0
171,11.875,0.0
172,11.875,0.625
173,11.875,1.25
174,11.875,1.875
175,11.875,2.5
176,11.875,3.125
177,11.875,3.75
178,11.875,4.375
179,11.875,5.0
180,12.5,0.0
181,12.5,0.625
182,12.5,1.25
183,12.5,1.875
184,12.5,2.5
185,12.5,3.125
186,12.5,3.75
187,12.5,4.375
188,12.5,5.0
189,13.125,0.0
190,13.125,0.625
191,13.125,1.25
192,13.125,1.875
193,13.125,2.5
194,13.125,3.125
195,13.125,3.75
196,13.125,4.375
197,13.125,5.0
198,13.75,0.0
199,13.75,0.625
200,13.75,1.25
201,13.75,1.875
202,13.75,2.5
203,13.75,3.125
204,13.75,3.75
205,13.75,4.375
206,13.75,5.0
207,14.375,0.0
208,14.375,0.625
209,14.375,1.25
210,14.375,1.875
211,14.375,2.5
212,14.375,3.125
213,14.375,3.75
214,14.375,4.375
215,14.375,5.0
216,15.0,0.0
217,15.0,0.625
218,15.0,1.25
219,15.0,1.875
220,15.0,2.5
221,15.0,3.125
222,15.0,3.75
223,15.0,4.375
224,15.0,5.0
