node_no,dof_no,value
0,0,30
1,0,30
2,0,30
3,0,30
4,0,30
5,0,30
6,0,30
7,0,30
8,0,30
9,0,30
10,0,30
11,0,30
12,0,30
13,0,30
14,0,30
15,0,30
16,0,30
17,0,30
18,0,30
19,0,30
20,0,30
21,0,30
22,0,30
23,0,30
24,0,30
25,0,30
26,0,30
27,0,30
28,0,30
29,0,30
30,0,30
31,0,30
32,0,30
33,0,30
34,0,30
35,0,30
36,0,30
37,0,30
38,0,30
39,0,30
40,0,30
41,0,30
42,0,30
43,0,30
44,0,30
45,0,30
46,0,30
47,0,30
48,0,30
49,0,30
50,0,30
51,0,30
52,0,30
53,0,30
54,0,30
55,0,30
56,0,30
57,0,30
58,0,30
59,0,30
60,0,30
61,0,30
62,0,30
63,0,30
64,0,30
8320,0,20
8321,0,20
8322,0,20
8323,0,20
8324,0,20
8325,0,20
8326,0,20
8327,0,20
8328,0,20
8329,0,20
8330,0,20
8331,0,20
8332,0,20
8333,0,20
8334,0,20
8335,0,20
8336,0,20
8337,0,20
8338,0,20
8339,0,20
8340,0,20
8341,0,20
8342,0,20
8343,0,20
8344,0,20
8345,0,20
8346,0,20
8347,0,20
8348,0,20
8349,0,20
8350,0,20
8351,0,20
8352,0,20
8353,0,20
8354,0,20
8355,0,20
8356,0,20
8357,0,20
8358,0,20
8359,0,20
8360,0,20
8361,0,20
8362,0,20
8363,0,20
8364,0,20
8365,0,20
8366,0,20
8367,0,20
8368,0,20
8369,0,20
8370,0,20
8371,0,20
8372,0,20
8373,0,20
8374,0,20
8375,0,20
8376,0,20
8377,0,20
8378,0,20
8379,0,20
8380,0,20
8381,0,20
8382,0,20
8383,0,20
8384,0,20
