node_no,dof_no,value
0,0,0
64,0,0
65,0,0
129,0,0
130,0,0
194,0,0
195,0,0
259,0,0
260,0,0
324,0,0
325,0,0
389,0,0
390,0,0
454,0,0
455,0,0
519,0,0
520,0,0
584,0,0
585,0,0
649,0,0
650,0,0
714,0,0
715,0,0
779,0,0
780,0,0
844,0,0
845,0,0
909,0,0
910,0,0
974,0,0
975,0,0
1039,0,0
1040,0,0
1104,0,0
1105,0,0
1169,0,0
1170,0,0
1234,0,0
1235,0,0
1299,0,0
1300,0,0
1364,0,0
1365,0,0
1429,0,0
1430,0,0
1494,0,0
1495,0,0
1559,0,0
1560,0,0
1624,0,0
1625,0,0
1689,0,0
1690,0,0
1754,0,0
1755,0,0
1819,0,0
1820,0,0
1884,0,0
1885,0,0
1949,0,0
1950,0,0
2014,0,0
2015,0,0
2079,0,0
2080,0,0
2144,0,0
2145,0,0
2209,0,0
2210,0,0
2274,0,0
2275,0,0
2339,0,0
2340,0,0
2404,0,0
2405,0,0
2469,0,0
2470,0,0
2534,0,0
2535,0,0
2599,0,0
2600,0,0
2664,0,0
2665,0,0
2729,0,0
2730,0,0
2794,0,0
2795,0,0
2859,0,0
2860,0,0
2924,0,0
2925,0,0
2989,0,0
2990,0,0
3054,0,0
3055,0,0
3119,0,0
3120,0,0
3184,0,0
3185,0,0
3249,0,0
3250,0,0
3314,0,0
3315,0,0
3379,0,0
3380,0,0
3444,0,0
3445,0,0
3509,0,0
3510,0,0
3574,0,0
3575,0,0
3639,0,0
3640,0,0
3704,0,0
3705,0,0
3769,0,0
3770,0,0
3834,0,0
3835,0,0
3899,0,0
3900,0,0
3964,0,0
3965,0,0
4029,0,0
4030,0,0
4094,0,0
4095,0,0
4159,0,0
4160,0,0
4224,0,0
4225,0,0
4289,0,0
4290,0,0
4354,0,0
4355,0,0
4419,0,0
4420,0,0
4484,0,0
4485,0,0
4549,0,0
4550,0,0
4614,0,0
4615,0,0
4679,0,0
4680,0,0
4744,0,0
4745,0,0
4809,0,0
4810,0,0
4874,0,0
4875,0,0
4939,0,0
4940,0,0
5004,0,0
5005,0,0
5069,0,0
5070,0,0
5134,0,0
5135,0,0
5199,0,0
5200,0,0
5264,0,0
5265,0,0
5329,0,0
5330,0,0
5394,0,0
5395,0,0
5459,0,0
5460,0,0
5524,0,0
5525,0,0
5589,0,0
5590,0,0
5654,0,0
5655,0,0
5719,0,0
5720,0,0
5784,0,0
5785,0,0
5849,0,0
5850,0,0
5914,0,0
5915,0,0
5979,0,0
5980,0,0
6044,0,0
6045,0,0
6109,0,0
6110,0,0
6174,0,0
6175,0,0
6239,0,0
6240,0,0
6304,0,0
6305,0,0
6369,0,0
6370,0,0
6434,0,0
6435,0,0
6499,0,0
6500,0,0
6564,0,0
6565,0,0
6629,0,0
6630,0,0
6694,0,0
6695,0,0
6759,0,0
6760,0,0
6824,0,0
6825,0,0
6889,0,0
6890,0,0
6954,0,0
6955,0,0
7019,0,0
7020,0,0
7084,0,0
7085,0,0
7149,0,0
7150,0,0
7214,0,0
7215,0,0
7279,0,0
7280,0,0
7344,0,0
7345,0,0
7409,0,0
7410,0,0
7474,0,0
7475,0,0
7539,0,0
7540,0,0
7604,0,0
7605,0,0
7669,0,0
7670,0,0
7734,0,0
7735,0,0
7799,0,0
7800,0,0
7864,0,0
7865,0,0
7929,0,0
7930,0,0
7994,0,0
7995,0,0
8059,0,0
8060,0,0
8124,0,0
8125,0,0
8189,0,0
8190,0,0
8254,0,0
8255,0,0
8319,0,0
8320,0,0
8384,0,0
