node_no,x,y
0,0.0,0.0
1,0.0,0.00390625
2,0.0,0.0078125
3,0.0,0.01171875
4,0.0,0.015625
5,0.0,0.01953125
6,0.0,0.0234375
7,0.0,0.02734375
8,0.0,0.03125
9,0.0,0.03515625
10,0.0,0.0390625
11,0.0,0.04296875
12,0.0,0.046875
13,0.0,0.05078125
14,0.0,0.0546875
15,0.0,0.05859375
16,0.0,0.0625
17,0.0,0.06640625
18,0.0,0.0703125
19,0.0,0.07421875
20,0.0,0.078125
21,0.0,0.08203125
22,0.0,0.0859375
23,0.0,0.08984375
24,0.0,0.09375
25,0.0,0.09765625
26,0.0,0.1015625
27,0.0,0.10546875
28,0.0,0.109375
29,0.0,0.11328125
30,0.0,0.1171875
31,0.0,0.12109375
32,0.0,0.125
33,0.0,0.12890625
34,0.0,0.1328125
35,0.0,0.13671875
36,0.0,0.140625
37,0.0,0.14453125
38,0.0,0.1484375
39,0.0,0.15234375
40,0.0,0.15625
41,0.0,0.16015625
42,0.0,0.1640625
43,0.0,0.16796875
44,0.0,0.171875
45,0.0,0.17578125
46,0.0,0.1796875
47,0.0,0.18359375
48,0.0,0.1875
49,0.0,0.19140625
50,0.0,0.1953125
51,0.0,0.19921875
52,0.0,0.203125
53,0.0,0.20703125
54,0.0,0.2109375
55,0.0,0.21484375
56,0.0,0.21875
57,0.0,0.22265625
58,0.0,0.2265625
59,0.0,0.23046875
60,0.0,0.234375
61,0.0,0.23828125
62,0.0,0.2421875
63,0.0,0.24609375
64,0.0,0.25
65,0.00390625,0.0
66,0.00390625,0.00390625
67,0.00390625,0.0078125
68,0.00390625,0.01171875
69,0.00390625,0.015625
70,0.00390625,0.01953125
71,0.00390625,0.0234375
72,0.00390625,0.02734375
73,0.00390625,0.03125
74,0.00390625,0.03515625
75,0.00390625,0.0390625
76,0.00390625,0.04296875
77,0.00390625,0.046875
78,0.00390625,0.05078125
79,0.00390625,0.0546875
80,0.00390625,0.05859375
81,0.00390625,0.0625
82,0.00390625,0.06640625
83,0.00390625,0.0703125
84,0.00390625,0.07421875
85,0.00390625,0.078125
86,0.00390625,0.08203125
87,0.00390625,0.0859375
88,0.00390625,0.08984375
89,0.00390625,0.09375
90,0.00390625,0.09765625
91,0.00390625,0.1015625
92,0.00390625,0.10546875
93,0.00390625,0.109375
94,0.00390625,0.11328125
95,0.00390625,0.1171875
96,0.00390625,0.12109375
97,0.00390625,0.125
98,0.00390625,0.12890625
99,0.00390625,0.1328125
100,0.00390625,0.13671875
101,0.00390625,0.140625
102,0.00390625,0.14453125
103,0.00390625,0.1484375
104,0.00390625,0.15234375
105,0.00390625,0.15625
106,0.00390625,0.16015625
107,0.00390625,0.1640625
108,0.00390625,0.16796875
109,0.00390625,0.171875
110,0.00390625,0.17578125
111,0.00390625,0.1796875
112,0.00390625,0.18359375
113,0.00390625,0.1875
114,0.00390625,0.19140625
115,0.00390625,0.1953125
116,0.00390625,0.19921875
117,0.00390625,0.203125
118,0.00390625,0.20703125
119,0.00390625,0.2109375
120,0.00390625,0.21484375
121,0.00390625,0.21875
122,0.00390625,0.22265625
123,0.00390625,0.2265625
124,0.00390625,0.23046875
125,0.00390625,0.234375
126,0.00390625,0.23828125
127,0.00390625,0.2421875
128,0.00390625,0.24609375
129,0.00390625,0.25
130,0.0078125,0.0
131,0.0078125,0.00390625
132,0.0078125,0.0078125
133,0.0078125,0.01171875
134,0.0078125,0.015625
135,0.0078125,0.01953125
136,0.0078125,0.0234375
137,0.0078125,0.02734375
138,0.0078125,0.03125
139,0.0078125,0.03515625
140,0.0078125,0.0390625
141,0.0078125,0.04296875
142,0.0078125,0.046875
143,0.0078125,0.05078125
144,0.0078125,0.0546875
145,0.0078125,0.05859375
146,0.0078125,0.0625
147,0.0078125,0.06640625
148,0.0078125,0.0703125
149,0.0078125,0.07421875
150,0.0078125,0.078125
151,0.0078125,0.08203125
152,0.0078125,0.0859375
153,0.0078125,0.08984375
154,0.0078125,0.09375
155,0.0078125,0.09765625
156,0.0078125,0.1015625
157,0.0078125,0.10546875
158,0.0078125,0.109375
159,0.0078125,0.11328125
160,0.0078125,0.1171875
161,0.0078125,0.12109375
162,0.0078125,0.125
